Estado,Fecha,Año,Mes,Temperatura,Precipitacion,Humedad,PM25,PM10,O3,NO2,SO2,CO,Poblacion,Densidad_Poblacional,Poblacion_Vulnerable_Pct,Casos_Respiratorios,Casos_Por_100k,PM25_Movil_3,PM10_Movil_3,Temp_Rezago_1,Precip_Rezago_1,Casos_Rezago_1,Riesgo_Alto
Aguascalientes,2018-01-01,2018,1,7.1,32.28,34.31,17.1,32.38,0.01857,0.03394,0.01582,0.842,1425607,253.76,11.5,5031,352.90230757845603,17.1,32.38,7.1,32.28,5031.0,1
Aguascalientes,2018-02-01,2018,2,9.64,16.63,34.72,23.0,39.2,0.03005,0.04309,0.02002,1.227,1425607,253.76,11.5,4932,345.9578972325473,20.05,35.790000000000006,7.1,32.28,5031.0,1
Aguascalientes,2018-03-01,2018,3,11.55,30.55,47.36,13.69,34.07,0.03736,0.0206,0.01137,0.635,1425607,253.76,11.5,4539,318.39069252606083,17.93,35.21666666666667,9.64,16.63,4932.0,1
Aguascalientes,2018-04-01,2018,4,19.93,31.83,47.38,15.12,24.58,0.03775,0.02581,0.01203,0.549,1425607,253.76,11.5,3639,255.2596893814354,17.27,32.61666666666667,11.55,30.55,4539.0,0
Aguascalientes,2018-05-01,2018,5,24.55,76.78,64.26,7.52,14.87,0.0469,0.00997,0.00829,0.175,1425607,253.76,11.5,2716,190.51533837866958,12.11,24.506666666666664,19.93,31.83,3639.0,0
Aguascalientes,2018-06-01,2018,6,28.45,91.85,77.76,6.15,12.81,0.04862,0.00791,0.00272,0.214,1425607,253.76,11.5,2228,156.28430556247267,9.596666666666666,17.419999999999998,24.55,76.78,2716.0,0
Aguascalientes,2018-07-01,2018,7,31.35,99.5,76.17,9.47,20.24,0.0442,0.00908,0.00693,0.262,1425607,253.76,11.5,2413,169.2612339866457,7.713333333333334,15.973333333333334,28.45,91.85,2228.0,0
Aguascalientes,2018-08-01,2018,8,26.97,71.6,68.18,7.42,9.38,0.04234,0.00885,0.00709,0.222,1425607,253.76,11.5,2274,159.51100127875355,7.68,14.143333333333333,31.35,99.5,2413.0,0
Aguascalientes,2018-09-01,2018,9,24.93,74.36857142857143,68.71,10.081428571428571,16.197142857142858,0.03738,0.01859,0.01136,0.575,1425607,253.76,11.5,2866,201.03717223610715,8.990476190476192,15.272380952380951,26.97,71.6,2274.0,0
Aguascalientes,2018-10-01,2018,10,19.57,69.89,51.84,14.92,27.23,0.02715,0.02135,0.01174,0.576,1425607,253.76,11.5,3306,231.901218217924,10.807142857142857,17.60238095238095,24.93,74.36857142857143,2866.0,0
Aguascalientes,2018-11-01,2018,11,12.74,34.6,53.16,21.11,35.48,0.02525,0.03529,0.01748,1.091,1425607,253.76,11.5,4522,317.19821802221793,15.37047619047619,26.302380952380947,19.57,69.89,3306.0,1
Aguascalientes,2018-12-01,2018,12,6.09,8.07,32.56,16.32,27.59,0.02234,0.03306,0.01538,0.844,1425607,253.76,11.5,5141,360.61831907391024,17.45,30.099999999999998,12.74,34.6,4522.0,1
Aguascalientes,2019-01-01,2019,1,6.59,22.02,34.25,19.0,39.46,0.01869,0.03456,0.01795,1.048,1425607,253.76,11.5,5096,357.461768916679,18.81,34.17666666666666,6.09,8.07,5141.0,1
Aguascalientes,2019-02-01,2019,2,8.79,27.94,32.43,18.5,45.8,0.02779,0.03303,0.014,0.987,1425607,253.76,11.5,4962,348.0622640040348,17.94,37.61666666666667,6.59,22.02,5096.0,1
Aguascalientes,2019-03-01,2019,3,11.23,19.09,45.63,15.18,23.92,0.03411,0.02309,0.01345,0.567,1425607,253.76,11.5,4179,293.13829126821065,17.56,36.39333333333333,8.79,27.94,4962.0,1
Aguascalientes,2019-04-01,2019,4,20.46,46.7,61.56,12.37,18.91,0.04486,0.01869,0.00787,0.639,1425607,253.76,11.5,3147,220.74807432904018,15.35,29.543333333333333,11.23,19.09,4179.0,0
Aguascalientes,2019-05-01,2019,5,24.82,57.35,60.88,14.69,17.14,0.0521,0.01729,0.01138,0.606,1425607,253.76,11.5,2748,192.75999626825626,14.079999999999998,19.99,20.46,46.7,3147.0,0
Aguascalientes,2019-06-01,2019,6,28.5,105.8,69.77,11.78,33.39,0.05096,0.01693,0.0081,0.246,1425607,253.76,11.5,2755,193.25101518160335,12.946666666666665,23.146666666666665,24.82,57.35,2748.0,0
Aguascalientes,2019-07-01,2019,7,30.66,101.68,78.64,7.89,17.56,0.04921,0.01048,0.00631,0.1,1425607,253.76,11.5,2209,154.95153994053058,11.453333333333333,22.69666666666667,28.5,105.8,2755.0,0
