Estado,Fecha,Año,Mes,Temperatura,Precipitacion,Humedad,PM25,PM10,O3,NO2,SO2,CO,Poblacion,Densidad_Poblacional,Poblacion_Vulnerable_Pct,Casos_Respiratorios
Aguascalientes,2018-01-01,2018,1,7.1,32.28,34.31,17.1,32.38,0.01857,0.03394,0.01582,0.842,1425607,253.76,11.5,5031
Baja California,2018-01-01,2018,1,13.64,15.17,32.67,16.57,34.58,0.01992,0.0278,0.01489,0.771,3769020,52.75,10.2,10110
Baja California Sur,2018-01-01,2018,1,18.26,2.75,33.87,19.7,37.43,0.01747,0.03316,0.01771,0.964,798447,10.8,9.8,1935
Campeche,2018-01-01,2018,1,19.78,12.88,44.26,12.95,23.27,0.0261,0.02495,0.01017,0.694,928363,16.03,12.0,1833
Chiapas,2018-01-01,2018,1,16.91,46.78,35.98,17.49,35.88,0.02623,0.03124,0.01509,0.761,5543828,75.64,14.5,15104
Chihuahua,2018-01-01,2018,1,2.45,3.56,20.29,12.57,23.3,0.02503,0.02128,0.01168,0.757,3741869,15.12,11.8,13580
Coahuila,2018-01-01,2018,1,6.49,37.52,15.0,15.55,33.49,0.01765,0.02578,0.01249,0.89,3146771,20.76,11.0,10942
Colima,2018-01-01,2018,1,19.41,7.78,40.02,17.55,35.57,0.02262,0.03152,0.01701,0.651,731391,130.03,12.5,1916
CDMX,2018-01-01,2018,1,4.3,15.57,33.5,36.56,65.9,0.0195,0.06876,0.03165,1.82,9209944,6160.5,14.2,43090
Durango,2018-01-01,2018,1,6.6,35.15,36.64,19.53,36.03,0.02597,0.03375,0.01686,0.976,1832650,14.86,12.0,6124
Guanajuato,2018-01-01,2018,1,7.86,3.28,36.31,18.84,35.64,0.01923,0.03323,0.01578,0.964,6166934,201.49,12.2,21840
Guerrero,2018-01-01,2018,1,23.06,17.55,35.87,15.63,19.77,0.02002,0.02826,0.01622,0.794,3540685,55.67,13.8,7455
Hidalgo,2018-01-01,2018,1,4.76,42.43,29.16,22.92,35.5,0.02463,0.04283,0.01926,1.332,3082841,148.12,13.0,11509
Jalisco,2018-01-01,2018,1,15.5,6.61,45.95,25.37,50.28,0.01887,0.04586,0.02182,1.164,8348151,106.23,12.4,26299
Edomex,2018-01-01,2018,1,1.73,30.64,37.37,33.47,59.44,0.01838,0.05868,0.02913,1.822,16992418,760.05,11.9,76134
Michoacán,2018-01-01,2018,1,15.27,24.19,41.54,19.49,34.05,0.02598,0.0356,0.01793,0.89,4748846,81.04,13.2,13210
Morelos,2018-01-01,2018,1,16.13,38.48,36.48,23.24,47.92,0.01785,0.04243,0.01974,1.395,1971520,404.08,13.5,6272
Nayarit,2018-01-01,2018,1,17.37,31.49,38.28,13.52,18.69,0.02447,0.02627,0.01231,0.785,1235456,44.42,12.8,3229
Nuevo León,2018-01-01,2018,1,15.71,13.61,31.23,32.3,56.94,0.02332,0.05816,0.02987,1.653,5784442,90.16,10.8,20592
Oaxaca,2018-01-01,2018,1,16.75,14.23,30.71,16.62,29.24,0.01878,0.02948,0.01534,0.912,4132148,44.07,14.8,11155
Puebla,2018-01-01,2018,1,4.48,37.05,27.43,22.18,37.37,0.02258,0.04028,0.01991,1.065,6583278,191.9,12.6,25688
Querétaro,2018-01-01,2018,1,7.07,38.09,29.29,24.3,49.07,0.02403,0.04099,0.02045,1.315,2368467,202.71,11.2,9063
Quintana Roo,2018-01-01,2018,1,21.42,34.93,69.26,15.93,33.61,0.02497,0.02804,0.01477,0.751,1857985,41.56,9.5,3941
San Luis Potosí,2018-01-01,2018,1,14.42,21.62,35.41,16.25,31.03,0.02292,0.0283,0.01539,0.851,2822255,46.16,12.5,7640
Sinaloa,2018-01-01,2018,1,17.64,27.92,38.4,23.47,51.47,0.02338,0.0382,0.02084,1.154,3026943,52.77,12.0,9002
Sonora,2018-01-01,2018,1,7.55,1.0,15.0,14.87,35.07,0.01874,0.02582,0.01243,0.95,2944840,16.42,11.2,9691
Tabasco,2018-01-01,2018,1,19.49,46.19,54.59,14.66,34.65,0.02313,0.02336,0.01242,0.889,2402598,97.15,12.5,5687
Tamaulipas,2018-01-01,2018,1,18.03,21.97,38.87,18.85,29.27,0.02174,0.03343,0.01534,1.144,3527735,44.0,11.5,8430
Tlaxcala,2018-01-01,2018,1,2.97,17.98,35.65,23.25,53.58,0.02557,0.03988,0.02092,1.229,1342977,336.5,12.2,5535
Veracruz,2018-01-01,2018,1,17.08,45.61,48.07,13.18,30.12,0.02344,0.02798,0.00964,0.67,8062579,112.26,13.5,21476
Yucatán,2018-01-01,2018,1,,,46.89,,,0.01724,0.02599,0.01413,0.821,2320898,58.72,12.5,5064
Zacatecas,2018-01-01,2018,1,3.08,32.4,36.54,14.11,29.77,0.01878,0.02688,0.01302,0.731,1622138,21.55,12.8,5898
Aguascalientes,2018-02-01,2018,2,9.64,16.63,34.72,23.0,39.2,0.03005,0.04309,0.02002,1.227,1425607,253.76,11.5,4932
Baja California,2018-02-01,2018,2,15.39,41.02,37.03,27.0,53.92,0.02698,0.0455,0.02225,1.476,3769020,52.75,10.2,12020
Baja California Sur,2018-02-01,2018,2,18.05,1.66,40.82,11.04,19.83,0.028,0.02138,0.00945,0.474,798447,10.8,9.8,1673
Campeche,2018-02-01,2018,2,21.8,32.73,34.86,12.65,23.79,0.03072,0.02132,0.01123,0.493,928363,16.03,12.0,1738
Chiapas,2018-02-01,2018,2,18.44,39.09,36.61,11.2,28.01,0.03156,0.01967,0.00873,0.562,5543828,75.64,14.5,13486
Chihuahua,2018-02-01,2018,2,5.26,8.21,15.0,16.04,29.32,0.02625,0.02961,0.01354,0.831,3741869,15.12,11.8,12904
Coahuila,2018-02-01,2018,2,9.49,41.77,15.0,24.27,45.72,0.02946,0.04702,0.02033,1.31,3146771,20.76,11.0,10867
Colima,2018-02-01,2018,2,22.93,14.1,33.64,14.15,18.69,0.02603,0.02338,0.01245,0.747,731391,130.03,12.5,1630
CDMX,2018-02-01,2018,2,6.95,30.39,34.79,34.84,70.1,0.02668,0.06367,0.02982,1.584,9209944,6160.5,14.2,42864
Durango,2018-02-01,2018,2,6.97,19.59,43.87,15.21,27.1,0.03115,0.02678,0.01327,0.722,1832650,14.86,12.0,6137
Guanajuato,2018-02-01,2018,2,7.83,41.16,36.97,21.08,40.63,0.02922,0.03403,0.0196,1.096,6166934,201.49,12.2,21827
Guerrero,2018-02-01,2018,2,23.47,23.81,38.26,15.5,33.67,0.02811,0.02679,0.01445,0.846,3540685,55.67,13.8,8144
Hidalgo,2018-02-01,2018,2,5.25,8.45,41.11,15.87,35.79,0.02687,0.02739,0.01451,0.95,3082841,148.12,13.0,11317
Jalisco,2018-02-01,2018,2,17.56,37.49,30.78,25.54,49.96,0.02508,0.04572,0.02217,1.081,8348151,106.23,12.4,24890
Edomex,2018-02-01,2018,2,3.04,6.03,41.03,27.95,52.74,0.02596,0.04905,0.02525,1.31,16992418,760.05,11.9,74226
Michoacán,2018-02-01,2018,2,15.17,10.08,33.72,15.94,27.73,0.02614,0.03198,0.01389,0.733,4748846,81.04,13.2,13318
Morelos,2018-02-01,2018,2,16.17,35.25,36.57,19.03,37.15,0.02459,0.03294,0.01424,0.807,1971520,404.08,13.5,6083
Nayarit,2018-02-01,2018,2,21.58,4.47,36.43,16.94,25.55,0.03145,0.03597,0.01584,0.841,1235456,44.42,12.8,2647
Nuevo León,2018-02-01,2018,2,14.88,13.77,38.7,28.48,51.03,0.02572,0.04883,0.02368,1.604,5784442,90.16,10.8,19108
Oaxaca,2018-02-01,2018,2,16.79,6.48,45.08,21.82,44.35,0.02995,0.03633,0.01878,1.012,4132148,44.07,14.8,11705
Puebla,2018-02-01,2018,2,8.22,17.24,47.23,23.63,43.17,0.02487,0.04029,0.02006,1.132,6583278,191.9,12.6,23617
Querétaro,2018-02-01,2018,2,8.67,19.42,33.52,22.25,39.62,0.03116,0.038,0.0201,1.171,2368467,202.71,11.2,8132
Quintana Roo,2018-02-01,2018,2,21.72,25.86,56.44,14.45,22.2,0.02437,0.0239,0.01076,0.565,1857985,41.56,9.5,3709
San Luis Potosí,2018-02-01,2018,2,16.12,14.55,33.16,17.08,32.08,0.02731,0.02875,0.01489,0.775,2822255,46.16,12.5,7554
Sinaloa,2018-02-01,2018,2,20.51,13.19,34.8,19.6,39.13,0.02846,0.02954,0.01624,1.045,3026943,52.77,12.0,7419
Sonora,2018-02-01,2018,2,10.82,10.13,15.0,17.38,39.18,0.03092,0.03126,0.01469,0.827,2944840,16.42,11.2,9008
Tabasco,2018-02-01,2018,2,22.28,34.61,50.57,7.67,15.62,0.03127,0.01591,0.00626,0.183,2402598,97.15,12.5,4322
Tamaulipas,2018-02-01,2018,2,16.06,32.9,35.92,14.23,25.69,0.0315,0.02669,0.01016,0.74,3527735,44.0,11.5,9306
Tlaxcala,2018-02-01,2018,2,3.33,8.57,43.4,23.49,48.52,0.02783,0.0417,0.02067,1.138,1342977,336.5,12.2,5421
Veracruz,2018-02-01,2018,2,18.8,9.34,48.4,21.01,39.83,0.03127,0.03905,0.01775,1.032,8062579,112.26,13.5,21404
